COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID
54109,20241231,106700,16.328800866101847,4863,841,16124,46.9945601369539,39.11,88789,0.0,25164,16584,720,41726,16584_20241231
383983,20241231,644122,9.963053287965302,30496,5933,54991,76.8830529806576,58.7,491821,0.0,15158,20179,36838,378127,20179_20241231
415796,20241231,519894,11.116832920591571,20848,3849,45132,46.459228618812745,41.65,466099,0.0,25077,20568,3311,216546,20568_20241231
47291,20241231,66375,15.478440637920851,2726,34,8112,41.511902098142826,36.34,58099,36.23410857886483,11189,22229,773,24118,22229_20241231
4655005,20241231,6719648,9.829620505235678,370859,59878,634099,97.19221123539393,81.21,5614703,12.626305760252373,110156,24156,28898,5457054,24156_20241231
993633,20241231,1263209,9.345310014338663,63397,15807,112101,94.6231797408712,84.07,1122299,12.518814445945987,116428,24823,6542,1061955,24823_20241231
50541,20241231,94204,8.876357992757372,4992,-184,7169,115.50958088403695,80.31,65495,14.923051735428947,3334,28217,725,75653,28217_20241231
52354,20241231,64685,14.308777166877352,3289,243,8759,62.57922045279089,53.89,55699,0.0,6041,29399,237,34856,29399_20241231
177006,20241231,266491,13.647142339294346,15901,2157,36142,97.7901289053162,79.82,217524,20.054372404185532,44845,31823,738,212717,31823_20241231
650854,20241231,974015,11.122475963337541,54007,8220,98856,91.37137568472642,80.99,863301,17.742992139957558,52637,33708,5141,788810,33708_20241231
61037,20241231,106153,12.600387704237054,6051,1031,14772,106.62531922655964,82.6,82230,17.137406008005687,14985,34334,193,87678,34334_20241231
339498,20241231,546077,11.011713472460878,29908,2418,67104,66.77728374287013,54.65,446887,15.37213526762386,106374,34643,2764,298419,34643_20241231
211595,20241231,662589,12.491919512815771,34413,7271,77053,70.16742686321604,57.67,544596,19.011977806865207,86610,35241,2311,382129,35241_20241231
11109,20241231,17741,13.492695883134132,1140,-951,2465,64.62430828721915,54.64,14999,22.868085106382978,4544,35314,-72,9693,35314_20241231
1920743,20241231,2579817,9.381221258513301,131233,26689,210253,89.2350326553171,75.54,2183871,13.336407264891797,77035,57369,13297,1948778,57369_20241231
2234653,20241231,4406981,12.93018606130318,232031,43215,520846,90.55224267708692,74.39,3620383,0.0,207886,57815,25070,3278338,57815_20241231
327741,20241231,451731,10.225013007562204,21199,2428,42399,101.79051865512673,77.22,342694,0.0,57352,57931,1296,348830,57931_20241231
1523724,20241231,3578664,11.492434347207713,212910,64717,418652,113.77475179852598,87.8,2761567,19.927096960197737,213308,58181,22904,3141966,58181_20241231
437440,20241231,654643,12.56626484804916,36593,7484,78564,91.83841682779861,72.34,515623,17.564736688972943,108514,58348,9628,473540,58348_20241231
203861,20241231,343256,8.793977358310121,18564,1200,29129,105.14355826460068,85.38,278737,0.0,8778,58377,431,293074,58377_20241231
