COREDEP,REPDTE,CHBAL,ASSET,RBC1AAJ,CERT,NETINC,EQ,LNLSNET,DEP,ID,deposits,loans,cash,assets,core_dep,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,RISK_SCORE,SEVERITY,INSTNAME,CITY,STALP
13390,19970930,89,18311,13.370705444857634,31559,94,2703,9744,15427,31559_19970930,15427,9744,89,18311,13390,0.13370705444857633,0.6316198872107345,2.1057237311207624,0.13204122642120958,0.6316828396362381,-6.295242550358182e-05,0.13125097043297143,0.0024560840156049035,37.55906190361986,-35.4533381724991,0.13354078615213244,-0.0014995597309228614,48.3,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13801,19971231,217,18508,13.601312551271533,31559,173,2710,9543,15639,31559_19971231,15639,9543,217,18508,13801,0.13601312551271533,0.6102052560905429,5.064582134407571,0.11752669608031203,0.6284368768907874,-0.01823162080024454,0.13161358874105758,0.004399536771657747,30.29131115220363,-25.22672901779606,0.1336409299651792,-0.01611423388486717,46.8,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13602,19980331,310,18420,13.870270869107628,31559,15,2871,9201,15404,31559_19980331,15404,9201,310,18420,13602,0.1387027086910763,0.5973123863931447,7.345494676707349,0.1169826019215788,0.6225835190705669,-0.025271132677422203,0.13268061038193044,0.006022098309145851,23.07373182018737,-15.728237143480019,0.1307377808383994,-0.013755178916820598,46.9,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13716,19980630,1041,18760,13.650707290533187,31559,21,2889,9703,15518,31559_19980630,15518,9703,1041,18760,13716,0.13650707290533187,0.62527387549942,24.485436267560253,0.11612321175409203,0.6147224964978686,0.010551379001551453,0.13469831475568456,0.001808758149647316,14.981349012680267,9.504087254879986,0.1257865401270843,-0.009663328372992261,47.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13774,19980930,1107,18871,13.789929615592852,31559,64,2948,9398,15521,31559_19980930,15521,9398,1107,18871,13774,0.13789929615592852,0.605502222794923,26.03279427871915,0.11255718059403388,0.6161028512984605,-0.01060062850353749,0.13623249038942495,0.0016668057665035763,9.750309202448983,16.28248507627017,0.12066843404429811,-0.008111253450264228,46.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13926,19981231,933,19117,14.23618519308726,31559,180,3038,9333,15679,31559_19981231,15679,9333,933,19117,13926,0.1423618519308726,0.5952547994132279,21.719816314815997,0.11180559984692902,0.6095734351945077,-0.014318635781279787,0.137280550816263,0.00508130111460961,15.732076839348581,5.987739475467416,0.1157974225875042,-0.003991822740575177,45.4,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13872,19990331,916,19028,14.527336385671962,31559,28,3160,9318,15417,31559_19990331,15417,9318,916,19028,13872,0.14527336385671963,0.604397742751508,21.686450022702214,0.10021404942595835,0.6058358210251789,-0.0014380782736708175,0.13886773242080233,0.006405631435917297,19.895885384450686,1.790564638251528,0.11436714852915843,-0.014153099103200076,46.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
14061,19990630,1017,19459,14.308994375229986,31559,54,3158,9192,15840,31559_19990630,15840,9192,1017,19459,14061,0.14308994375229986,0.5803030303030303,23.43465909090909,0.11231060606060606,0.6076071601147697,-0.027304129811739353,0.14051039621221317,0.002579547540086685,23.481124220949404,-0.04646513004031405,0.11017501040525332,0.0021355956553527344,44.8,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13863,19990930,568,19241,14.556895093062606,31559,57,3082,9196,15751,31559_19990930,15751,9196,568,19241,13863,0.14556895093062605,0.5838359469240049,13.162338899117517,0.11986540537108754,0.5963644488156723,-0.012528501891667432,0.14215611392395516,0.003412837006670888,23.218429926786612,-10.056091027669096,0.10922185898188183,0.010643546389205713,49.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
14049,19991231,427,19268,14.926474463711589,31559,137,3127,9513,15847,31559_19991231,15847,9513,427,19268,14049,0.1492647446371159,0.6003028964472771,9.834984539660503,0.11345996087587557,0.5909478798479428,0.009355016599334243,0.14407352761762954,0.005191217019486355,20.000816081886207,-10.165831542225703,0.11104891517614524,0.00241104569973033,50.6,medium,Dwelling House Savings and Loan,Pittsburgh,PA
14038,20000331,539,19535,14.901126278092075,31559,38,3139,9164,16081,31559_20000331,16081,9164,539,19535,14038,0.14901126278092075,0.5698650581431502,12.234002860518624,0.12704433803867918,0.5922099041064551,-0.022344845963304882,0.14579925079419037,0.0032120119867303787,17.02960813809733,-4.795605277578707,0.11146250543338188,0.015581832605297302,48.6,medium,Dwelling House Savings and Loan,Pittsburgh,PA
14255,20000630,381,19615,14.902001451830344,31559,32,3203,9194,16051,31559_20000630,16051,9194,381,19615,14255,0.14902001451830343,0.5727992025418978,8.663946171578095,0.11189333997881752,0.5835767329543656,-0.010777530412467873,0.14673372552524064,0.002286288993062796,14.666496347551433,-6.002550175973338,0.11817007758656209,-0.0062767376077445675,47.8,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13970,20000930,822,19559,15.31686470710861,31559,116,3310,9045,15840,31559_20000930,15840,9045,822,19559,13970,0.1531686470710861,0.5710227272727273,18.94128787878788,0.11805555555555555,0.5817007760140824,-0.01067804874135514,0.14821624321674154,0.004952403854344561,10.973818117718684,7.967469761069195,0.11806576106611495,-1.0205510559399555e-05,45.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
14068,20001231,1301,20005,15.602545678505441,31559,200,3561,8766,15938,31559_20001231,15938,8766,1301,20005,14068,0.15602545678505442,0.5500062743129628,29.794516250470576,0.11732965240306187,0.5784974711012631,-0.028491196788300366,0.15011616725185653,0.005909289533197887,12.418555362636274,17.375960887834303,0.11761329861223196,-0.0002836462091700964,46.9,medium,Dwelling House Savings and Loan,Pittsburgh,PA
