COREDEP,REPDTE,CHBAL,ASSET,RBC1AAJ,CERT,NETINC,EQ,LNLSNET,DEP,ID,deposits,loans,cash,assets,core_dep,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,RISK_SCORE,SEVERITY,INSTNAME,CITY,STALP
11197,19911231,264,14738,12.13868910299905,31559,85,1789,8987,12940,31559_19911231,12940,8987,264,14738,11197,0.1213868910299905,0.6945131375579598,7.4466769706336935,0.13469860896445132,0.7166804291488043,-0.022167291590844407,0.12116222598614933,0.00022466504384117958,22.57368082296389,-15.127003852330198,0.12772743546259746,0.006971173501853861,51.1,medium,Dwelling House Savings and Loan,Pittsburgh,PA
11591,19920331,257,15349,11.798814255000325,31559,22,1811,9232,13017,31559_19920331,13017,9232,257,15349,11591,0.11798814255000326,0.7092263962510563,7.206345548129369,0.10954905124068526,0.7102922661698732,-0.001065869918816853,0.12189397933018888,-0.0039058367801856203,22.161604177464422,-14.955258629335052,0.1280961666510787,-0.018547115410393444,51.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
12695,19920630,369,15991,11.53773997873804,31559,56,1845,9103,14110,31559_19920630,14110,9103,369,15991,12695,0.1153773997873804,0.6451452870304748,9.545357902197022,0.1002834868887314,0.7093225004181225,-0.0641772133876477,0.12145206416198231,-0.0060746643746019124,14.990446355846188,-5.445088453649166,0.12557495708153188,-0.02529147019280048,49.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
12937,19920930,646,16181,10.623570854706136,31559,23,1719,10157,14372,31559_19920930,14372,10157,646,16181,12937,0.10623570854706137,0.7067214027275257,16.406206512663513,0.0998469245755636,0.6940141884996487,0.012707214227877017,0.11967241745914499,-0.013436708912083623,7.979091422655084,8.427115090008428,0.11792972983199237,-0.018082805256428774,49.4,medium,Dwelling House Savings and Loan,Pittsburgh,PA
12974,19921231,251,16405,10.429747028345018,31559,15,1711,10221,14630,31559_19921231,14630,10221,251,16405,12974,0.10429747028345018,0.698632946001367,6.262132604237868,0.11319207108680793,0.6889015558917542,0.00973139010961288,0.11524703547860889,-0.010949565195158703,10.151146733405898,-3.8890141291680305,0.1110945179173579,0.0020975531694500255,51.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
12959,19930331,111,16568,10.447851279575085,31559,20,1731,9923,14820,31559_19930331,14820,9923,111,16568,12959,0.10447851279575085,0.6695681511470986,2.7338056680161946,0.1255735492577598,0.6899315080026059,-0.020363356855507386,0.1109746802919738,-0.006496167496222949,9.855010641806942,-7.121204973790747,0.10571788344794705,0.01985566580981274,48.1,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13322,19930630,56,16733,10.679495607482222,31559,76,1787,9878,14913,31559_19930630,14913,9878,56,16733,13322,0.10679495607482221,0.6623751089653322,1.370616240863676,0.10668544223161,0.6800169467266165,-0.01764183776128425,0.10759727285341071,-0.0008023167785884966,8.736875671778648,-7.3662594309149725,0.10972400795221568,-0.0030385657206056793,43.1,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13464,19930930,41,16901,10.86917933850068,31559,127,1837,10006,14997,31559_19930930,14997,10006,41,16901,13464,0.10869179338500681,0.6672001066880042,0.9978662399146495,0.10222044408881777,0.6843244022103309,-0.017124295522326638,0.10545166192527115,0.0032401314597356595,6.6931902564453125,-5.695324016530663,0.11132449678793532,-0.009104052699117557,44.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13923,19931231,171,18028,10.034390947415133,31559,100,1809,10442,16163,31559_19931231,16163,10442,171,18028,13923,0.10034390947415134,0.6460434325310895,3.8615974757161418,0.1385881333910784,0.6744440782004505,-0.028400645669360958,0.1060656831347575,-0.0057217736606061664,2.841105188258097,1.0204922874580449,0.11191787666624887,0.02667025672482952,40.4,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13867,19940331,274,17901,10.513379140830121,31559,73,1882,10573,15936,31559_19940331,15936,10573,274,17901,13867,0.10513379140830122,0.6634663654618473,6.2757279116465865,0.12983182730923695,0.6612966998328812,0.0021696656289661442,0.10507729293243281,5.649847586840229e-05,2.2409714061276653,4.034756505518921,0.1182668922423165,0.011564935066920454,38.8,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13959,19940630,254,17864,10.714285714285714,31559,105,1914,10331,15815,31559_19940630,15815,10331,254,17864,13959,0.10714285714285714,0.6532405943724312,5.862156180840974,0.11735693961429024,0.6597712534115683,-0.006530659039137077,0.1052411125855704,0.0019017445572867414,3.1264519670352637,2.73570421380571,0.11933146175518577,-0.0019745221408955377,38.2,medium,Dwelling House Savings and Loan,Pittsburgh,PA
13666,19940930,244,17627,11.215748567538435,31559,167,1977,10369,15481,31559_19940930,15481,10369,244,17627,13666,0.11215748567538436,0.6697887733350558,5.752858342484336,0.11724048834054647,0.657487624763343,0.012301148571712828,0.10532808785257913,0.006829397822805228,4.249336952029588,1.5035213904547478,0.12199933610085584,-0.004758847760309368,40.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
